filename,affinity,rmsd,smiles
Z5015292774,-7.07769,0.80637,CN1C[C@@H](NC(=O)c2cn(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)nn2)Cc2ccccc21
Z357019924,-6.82793,0.80651,CC(=O)NCc1ccc(-c2nc(NC(=O)C3=NN(C)C(=O)CC3)sc2C)s1
Z3631223593,-6.36158,0.81046,CC(=O)NCCOc1ccc(NC(=O)c2cncc(N=[N+]=[N-])c2)cc1
Z2021036654,-7.60402,0.81059,NC(=O)NC(=O)c1cccc(NC(=O)CCc2ccc(=O)[nH]c2)c1
Z31832700,-8.31918,0.81094,COc1ccc(NS(=O)(=O)c2ccc(NC(=O)CN3C(=O)NC4(CCCC4)C3=O)cc2)cc1
Z1315785809,-9.18148,0.81258,O=C(c1ccc(N2CCC(O)CC2)cc1)N1CCC2(CCOCC2)C1
Z1945528026,-9.88344,0.81392,CNC(=O)c1cc2cc(NC(=O)c3ccc(-c4noc(=O)[nH]4)cc3)ccc2[nH]1
Z1224920270,-7.31455,0.81514,NC(=O)CCn1ccc(NS(=O)(=O)c2ccc(C(=O)O)cc2)n1
Z19074792,-7.99569,0.81534,CNC(=O)COC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1
Z4185521193,-7.63226,0.81633,CNC(=O)c1cc2cc(NC(=O)N(C)[C@H]3CC[C@H](N)CC3)ccc2[nH]1
Z6285152842,-7.51236,0.81659,O=C1CC[C@@H](N2Cc3cc(-n4cc(C(=O)N[C@@H]5C[C@@H]6C[C@H]5OC(=O)N6)nn4)ccc3C2=O)C(=O)N1
Z4081941775,-7.96067,0.81852,OC1CCN(c2ncc(-c3nccc(NC4CCNCC4)n3)cn2)CC1
Z7760275618,-4.11744,0.81904,CNC(=O)Nc1ccc(S(=O)(=O)NC(=O)c2ccc3cnccc3c2)cc1
Z991656194,-8.23054,0.81935,NC(=O)[C@H]1CCCN(Cc2ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc2)C1
Z5000464653,-6.97426,0.81997,CC(C)(C)C(=O)Nc1cnc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)cn1
Z6285149691,-6.69515,0.82015,C[C@H]1C[C@@](NC(=O)c2cn(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)nn2)(c2ccccc2)C1
Z317471306,-8.43468,0.82031,NC(=O)COc1ccc(NS(=O)(=O)c2ccc3c(c2)OCCCO3)cc1
Z2736945146,-5.90987,0.82036,Cc1cc(NC(=O)c2c[nH]c(C#N)c2)ccc1OCCO
Z73363415,-7.51752,0.82376,CC(=O)NCc1ccc(-c2csc(NC(=O)c3ccc4c(c3)OCO4)n2)s1
Z192648444,5.41253,0.82451,Cc1nc2nc(N)nn2c(C)c1CCC(=O)NCc1ccccc1Cn1cccn1
Z6326485411,-8.25667,0.82653,CNC(=O)c1cc2cc(NC(=O)N3CCC4(CC3)NC(=O)NC4=O)ccc2[nH]1
Z5015312725,-6.70519,0.82804,C[C@H]1CCNC(=O)[C@@H]1CNC(=O)c1cn(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nn1
Z8479686879,-6.90747,0.83587,NCc1cn(-c2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)nn1
Z70959218,-7.80629,0.83654,N#Cc1ccc(C(=O)Nc2nc(-c3ccc4c(c3)CCC(=O)N4)cs2)cc1
Z3380463967,-7.81924,0.83680,CS(=O)(=O)N1CCC(NC(=O)c2ccc(-c3cccc(CN)c3)cc2)CC1
Z51419530,-7.15834,0.83682,CCn1c(SCC(=O)c2cc(C)n(-c3cc(C)on3)c2C)nc2cc(S(N)(=O)=O)ccc21
Z1944142642,-8.81562,0.83762,CNC(=O)c1cc2cc(NC(=O)c3ccc(-n4cnnc4)cc3)ccc2[nH]1
Z6281300753,-6.63861,0.83838,Cc1cc([C@H](C)NC(=O)c2cn(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)nn2)no1
Z91044744,3.22505,0.83990,O=C(CN1CCN(C(=O)c2ccc(CSc3nc4ccccc4[nH]3)cc2)CC1)NC1CC1
Z8188000924,-6.80511,0.84240,C#C[C@@](C)(NC(=O)c1cn(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nn1)C1CCCCC1
Z4208290492,-8.87379,0.84383,CCn1cc(C(=O)N2CC(N)C2)c(=O)c2cc(F)c(N3CCNCC3)cc21
Z6739426289,-8.03098,0.84530,COCc1cc(-c2nc(-c3ccc(N4CCC(N)CC4)nc3)no2)[nH]n1
Z5000467358,-8.67561,0.84539,COc1cc(N)cnc1-c1ccc2c(c1)CN([C@H]1CCC(=O)NC1=O)C2=O
Z5001810553,-4.85350,0.84540,Cc1ccc([C@H](O)Cn2cc([C@H]3CCN(C(=O)Cn4cc(Cl)c(=O)[nH]c4=O)C34CC4)nn2)cc1
Z6591271692,-8.02585,0.84590,Cc1cc2c(NC(=O)c3cc(C4CCNCC4)no3)n[nH]c2cc1C#N
Z211293842,-7.23014,0.84734,O=C1NC(=O)C2(CCN(C(=O)c3ccc(NS(=O)(=O)c4ccc5[nH]c(=O)[nH]c5c4)cc3)CC2)N1
Z27666780,-7.50609,0.85072,O=C(Nc1ccc2c(c1)OCCO2)c1ccc(CSc2nnc[nH]2)cc1
Z8343300986,-7.41714,0.85112,CC(C)(CNC(=O)c1cc(Cl)cc(-c2cn(-c3ccc(C(=O)O)cc3)nn2)c1)C(N)=O
Z6336123813,-9.18829,0.85133,O=C1CC(C(=O)Nc2cccc(NC(=O)c3ccc(-c4c[nH]nn4)cc3)c2)CC(=O)N1
Z1116832258,-7.27625,0.85160,O=C(C[C@@H]1CCS(=O)(=O)C1)Nc1cnc(-c2cccc(O)c2)nc1
Z1928974736,-8.68569,0.85166,NC(=O)CN1CCc2ccc(NC(=O)c3ccc(-n4cncn4)cc3)cc2C1
Z1280781949,-7.24319,0.85472,NC(=O)Cn1cc(C(=O)Nc2cnc(-c3cccc(O)c3)nc2)nn1
Z3873358698,-7.57449,0.85510,COc1ccc([C@H]2CN(c3nc4cc(S(N)(=O)=O)ccc4[nH]3)CCO2)cc1
Z4379565023,-7.98598,0.85625,O=C(/C=C/c1ccc(-c2nn[nH]n2)cc1)N1CCC(O)CC1
Z84523371,-7.21288,0.85626,O=C(NNC(=O)c1cccc(Cl)c1)c1ccc(NS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1
Z4910861299,-7.20672,0.85688,CC(C)(O)c1cn(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nn1
Z253681832,-6.68372,0.85825,COC(=O)c1ccc(C(=O)Nc2nc(-c3ccc(CNC(C)=O)s3)cs2)s1
Z237103460,-7.06535,0.85835,COc1cc(C(=O)N2CCN(c3cnccn3)CC2)ccc1OCC(N)=O
Z8355098347,-5.99437,0.86053,CN1C[C@H]2C[C@]1(CNC(=O)c1cn(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)nn1)C2
Z2690305442,-7.07156,0.86281,NC(=O)/N=N/c1ccc(C(=O)N2CCC([C@H]3CCOC3)CC2)cc1
Z1005124954,-8.57525,0.86415,O=C(Nc1ccc(NS(=O)(=O)c2ccc3c(c2)OCCCO3)cc1)c1ncccc1O
Z2932450268,-7.33068,0.86478,O=C(Nc1ccn(CCN2CCNC2=O)n1)c1ccc(O)c(F)c1
Z15417274,-8.30879,0.86571,CCOc1ccc(N2C(=O)c3ccc(C(=O)OCC(=O)Nc4ccc(Cl)c([N+](=O)[O-])c4)cc3C2=O)cc1
Z1336886143,-7.82364,0.86678,O=C(Nc1cnn(-c2ccncc2)c1)c1ccc(C(=O)c2cc[nH]c2)cc1
Z4910860171,-6.33435,0.86708,COCCNC(=O)c1cn(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nn1
Z51418285,-6.25842,0.86838,CCOc1ccc(C(=O)CSc2nc3cc(S(N)(=O)=O)ccc3n2CC)cc1
Z2608021544,-6.29803,0.86969,CC(=O)N1CCN(c2cc(-c3noc([C@H]4CCCc5[nH]nnc54)n3)ccn2)CC1
Z226215114,-6.09707,0.86986,COc1ccc(CNC(=O)c2cc(Cl)c(OCC(N)=O)c(OC)c2)cn1
Z8687350970,-7.61597,0.87040,O=C1CC[C@@H](N2Cc3cc(C(=O)N[C@H]4CCCCNC4)ccc3C2=O)C(=O)N1
Z88474952,-8.42213,0.87295,CCCNC(=O)[C@H](C)NC(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCC)cc1)C2=O
Z202160504,-8.12127,0.87314,O=C(Nc1ccc(NS(=O)(=O)c2ccc3c(c2)OCCCO3)cc1)c1cccnc1O
Z4999840978,-4.11656,0.87338,O=C(O)CCC1CCN(C(=O)c2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)CC1
Z5015321587,-6.76737,0.87339,O=C1CC[C@@H](N2Cc3cc(-n4cc(C(=O)NC[C@]56CCC[C@H]5CCO6)nn4)ccc3C2=O)C(=O)N1
Z5015219103,-3.11945,0.87485,Cc1nc2n(n1)CCC[C@H]2NC(=O)c1cn(-c2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)nn1
Z3268498751,-5.71980,0.87673,N#CCCCS(=O)(=O)NCc1ccc(-c2nc[nH]n2)cc1
Z5000182391,-8.22223,0.87718,CC(=O)C1CN(C(=O)Nc2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)C1
Z7151894777,-6.17308,0.87829,Cc1cc(N2CCC3=C(CCC(=O)N3)C2)ncc1S(=O)(=O)N1CC[C@H]([C@@H](C)O)C1
