## Torsion are defined with the following atomIDs:
# dihed1: ai= 5371 aj= 2689 ak= 2688 al= 2687
# dihed2: ai= 2690 aj= 2684 ak= 2682 al= 2681
# dihed3: ai= 2680 aj= 2679 ak= 2677 al= 2674
# dihed4: ai= 2679 aj= 2677 ak= 2674 al= 2675
# dihed5: ai= 2676 aj= 2671 ak= 2695 al= 2694
# dihed6: ai= 2692 aj= 2691 ak= 2698 al= 2697
# dihed7: ai= 2691 aj= 2698 ak= 2697 al= 5382
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7
175    1.011  -67.099   -6.950  -27.161  -23.907   49.363  155.138
176   13.806  -71.222   -8.490  -40.552   -3.021  156.900 -170.229
177  -16.807  -65.409  -18.734  -50.641  -31.985  117.058 -173.576
178    0.892  -87.695  -15.067  -29.218  -14.026  147.389 -176.212
179   -2.179  -64.005  -26.762  -28.088   37.935  -29.745 -164.091
180  -15.709  -54.144  -31.739  -31.591   44.630   11.046  177.095
181    2.517  -60.534  -12.393  -37.924    9.995   -5.223  175.381
182  -30.755  -53.412    4.424  -38.442   38.167   -2.604 -174.608
183   18.362  -56.982   -7.788  -56.324   18.938   64.353 -176.918
184   12.957  -69.587   -9.811  -33.406   11.904  144.794 -158.247
185    4.365  -64.151    0.789  -34.601   48.717  -96.754 -165.086
186   16.722  -59.907   -5.406  -46.076   41.244   14.738  175.125
187  -12.019  -53.418  -35.695  -25.023   39.032   44.325 -169.130
188    3.860  -56.610  -25.425  -32.896   51.537   46.660  166.609
189  -25.337  -72.996   13.173  -41.218   51.477 -122.617  174.147
190   11.352  -57.978  -22.418  -36.918   22.511    7.001 -174.700
191    8.905  -52.770    6.802  -36.742    4.990   79.505  176.691
192   10.726  -44.933  -19.557  -42.657   16.592  169.210 -171.419
193   16.997  -66.292    4.692  -36.988   54.864 -103.323 -177.690
194  -12.815  -49.320  -15.850  -23.758   43.050   27.976  178.581
195    6.323  -59.924   -2.975  -32.280   55.411  170.648 -177.785
196   25.116  -54.142  -22.581  -32.813   31.849  -10.833 -170.318
197  -30.923  -67.016  -24.901  -22.286   34.663 -172.681  173.389
198    2.449  -75.971  -14.562  -34.024   41.239   44.100  176.406
199   -1.328  -57.453  -42.313  -18.601   43.388  -10.393  177.379
200   -1.920  -52.551  -28.847  -37.610   45.180 -178.892 -175.927
201  -26.726  -64.149  -16.867  -41.683   44.630    6.628 -174.866
202    1.599  -63.439  -21.735  -45.523   13.071  -29.227  173.605
203  -15.925  -95.885  -24.146  -23.196    3.693  102.909 -172.569
204   -5.257  -56.339   -3.002  -42.640   45.861   32.879 -178.563
205  -25.247  -72.277   -4.663  -33.118   19.342  100.277 -172.338
206   -4.243  -60.127  -14.806  -43.261   52.411   -0.129 -168.796
207  -32.724 -108.411   -1.720  -41.213   23.193  107.526 -168.870
208   -3.112  -63.998  -15.691  -41.325   37.808  139.391 -177.936
209    3.692  -53.013  -18.398  -22.807   45.093 -171.040  179.661
210  -41.473 -106.049  -13.282  -44.101  -33.482   73.189 -161.357
211   -2.854  -65.429  -19.551  -27.682   11.797  175.184 -179.381
212   13.684  -61.481   -9.484  -27.975  122.563  -21.322  168.246
213    8.535  -64.096  -12.228  -25.907 -177.244  162.881 -174.058
214   -4.918  -58.818  -10.587  -36.105 -161.195  139.407  165.201
215   -7.709  -63.289  -12.409  -43.358  142.589  177.967  174.461
216   -5.156  -60.851    3.516  -46.483 -178.643  -86.544  166.088
217   -1.763  -69.942    0.829  -44.168  131.682  133.706 -174.969
218   -8.212  -78.402   -1.427  -49.576  133.128 -177.831 -172.248
219  -16.079  -69.947  -21.310  -36.841  131.716  -96.517 -172.010
220    2.006  -57.014  -10.972  -32.033   52.164   10.488  170.496
221  -11.816  -76.205   -6.652  -31.066   44.408   15.365  175.136
222  -19.275  -73.403  -16.207  -16.989   35.747  -13.558  174.847
223  -21.562  -63.193  -17.923  -35.735   21.389   83.282 -166.947
224  -11.310  -80.065   -0.933  -42.123   20.033   -3.855  176.624
225    6.577  -81.171   -4.799  -34.371   44.754   11.744  177.372
226   11.153  -66.706  -19.071  -43.483   63.607   -3.536 -170.719
227   -5.384  -58.049  -16.607  -44.447   39.947    3.791  175.535
228   -3.438  -57.579   -9.918  -24.276   51.596  -19.017  172.797
229   -5.597  -72.814   -3.626  -44.880   47.039   50.870  178.425
230  -68.654  -75.340   -5.065  -41.969   17.783   86.609 -177.348
231  -13.680  -55.640   -4.538  -43.340   42.611  -58.558 -158.674
232   -7.184  -69.609  -11.095  -34.173   53.710  -26.402 -167.084
233   -0.934  -48.897  -25.954  -36.231   50.921   13.146  176.061
234   12.846  -60.293  -13.116  -35.367   45.259 -110.792 -174.392
235  -12.493  -68.953   -4.894  -47.785   14.179  -12.856 -174.333
236    7.611  -84.853  -14.911  -41.478   39.877   52.962 -165.400
237   11.655  -77.546  -10.862  -34.697   25.334   80.698 -172.801
238    0.763  -75.910   -5.499  -30.858   38.916  154.997  174.962
239  -21.926  -68.936  -19.597  -29.306   20.241  -16.093 -178.145
240    4.186  -57.922  -32.587  -26.817    8.839  128.729  170.292
241   -6.630  -51.861   -4.942  -42.347   38.585  -12.160  177.668
242   -6.249  -63.296   -7.908  -29.695   54.288  -98.167 -174.524
243    8.653  -82.441    3.253  -36.859  -40.311   47.892 -176.111
244  -10.754  -92.124   -8.557  -48.624   43.130   49.953 -179.840
245  -11.981  -70.869  -17.431  -41.262   41.033   25.386  167.313
246  -12.450  -54.184    0.439  -41.983   45.396  163.753 -174.888
247    1.806  -56.487  -13.074  -35.971   37.698  -59.830 -173.891
248  -24.997  -77.119  -13.397  -36.197   46.812  -59.716 -174.209
249   -7.182  -73.745    4.614  -42.719  -13.718   78.832 -177.302
250  -13.295  -81.730   -3.378  -31.669  -10.052  102.677 -178.883
251  -24.505  -71.671  -22.396  -39.780   35.152  -26.786 -168.844
252  -27.887  -54.850  -35.671  -28.545   40.811 -114.206 -178.285
253    5.065  -57.836   -3.915  -39.953   45.734  -62.443 -173.783
254   17.324  -68.574  -11.302  -24.994   34.617   52.796  176.989
