  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      308        1.031        5.587            0      379.877      200.612      191.226
      309        1.050        5.535            0      379.483      212.721      191.481
      310        1.143        5.480            0      377.004      154.829      190.630
      311        1.178        5.349            0      376.349      174.110      190.156
      312        1.067        5.573            0      380.180      137.696      183.066
      313        1.079        5.638            0      378.696      143.718      190.577
      314        1.042        5.684            0      380.167      167.291      188.286
      315        0.985        5.723            0      378.849      170.509      192.164
      316        1.048        5.738            0      380.587      164.985      185.746
      317        1.199        5.554            0      373.691      183.989      185.524
      318        0.940        5.624            0      381.810      167.285      191.068
      319        0.949        5.815            0      380.546      179.810      188.437
      320        1.038        5.684            0      380.012      167.549      186.325
      321        1.027        5.694            0      379.077      189.724      185.520
      322        0.962        5.707            0      379.559      180.983      190.541
      323        1.031        5.665            0      379.787      160.200      186.278
      324        1.061        5.741            0      381.861      185.336      189.368
      325        1.122        5.629            0      378.683      149.429      188.532
      326        1.093        5.730            0      381.633      164.125      189.626
      327        1.010        5.680            0      381.769      184.891      186.853
      328        1.218        5.831            0      382.180      233.951      189.689
      329        1.317        5.725            0      380.431      225.393      192.102
      330        1.299        5.594            0      376.031      201.827      173.721
      331        1.241        5.701            0      377.215      226.003      179.649
      332        1.490        5.873            0      380.160      244.118      181.910
      333        1.253        5.709            0      374.190      248.869      178.196
      334        1.833        5.772            0      380.449      230.907      183.004
      335        2.120        5.249            0      370.601      168.238      168.005
      336        1.821        5.473            0      377.841      170.212      176.741
      337        1.452        5.838            0      382.132      323.275      187.373
      338        2.026        5.619            0      377.597      217.923      189.402
      339        2.104        5.654            0      375.250      198.502      189.265
      340        1.581        5.624            0      378.047      227.273      189.377
      341        1.550        5.856            0      380.687      237.309      190.974
      342        1.630        5.575            0      377.284      229.210      188.741
      343        1.257        5.695            0      381.204      236.921      191.344
      344        1.387        5.682            0      377.463      224.770      188.606
      345        1.867        5.536            0      379.361      140.264      189.764
      346        1.998        5.455            0      380.685      161.787      192.341
      347        1.803        5.831            0      382.341      209.164      190.640
      348        1.721        5.741            0      379.958      160.688      187.370
      349        1.473        5.590            0      381.324      181.049      189.140
      350        1.708        5.695            0      379.818      179.410      188.481
      351        1.737        5.563            0      380.792      173.708      197.744
      352        1.838        5.489            0      379.030      146.640      187.749
      353        1.820        5.537            0      376.715      171.637      189.799
      354        1.983        5.463            0      375.623      173.716      188.802
      355        1.491        5.494            0      374.309      163.445      179.089
      356        1.160        5.562            0      375.177      180.133      176.200
      357        1.652        5.335            0      375.034      171.801      178.258
      358        1.443        5.605            0      376.343      157.806      183.110
      359        1.552        5.485            0      376.825      156.221      179.905
      360        1.507        5.468            0      374.976      159.824      178.074
      361        1.356        5.521            0      378.855      190.481      177.650
      362        1.475        5.523            0      375.296      174.853      174.775
      363        1.438        5.483            0      373.740      207.116      173.967
