  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       187      6.726           6.799           6.906           6.682           3.001           1.634
       188      7.096           7.185           7.220           7.024           3.906           1.724
       189      7.505           7.588           7.529           7.392           3.905           1.717
       190      6.516           6.555           6.600           6.420           3.859           1.217
       191      6.561           6.628           6.610           6.489           3.653           1.222
       192      6.367           6.393           6.458           6.294           3.809           1.198
       193      6.472           6.514           6.550           6.380           3.958           1.782
       194      6.673           6.712           6.783           6.571           3.542           1.810
       195      6.540           6.581           6.667           6.454           3.606           1.494
       196      7.396           7.454           7.348           7.255           4.010           1.247
       197      7.402           7.435           7.410           7.270           4.820           1.822
       198      7.370           7.411           7.381           7.221           4.328           1.620
       199      7.244           7.347           7.334           7.153           4.038           1.291
       200      7.741           7.853           7.880           7.673           4.459           1.364
       201      6.931           7.029           7.177           6.905           3.352           1.279
       202      6.845           6.936           6.983           6.804           3.861           1.206
       203      7.219           7.307           7.400           7.172           4.070           1.203
       204      7.246           7.364           7.382           7.183           3.966           1.225
       205      6.870           6.948           7.028           6.813           4.430           1.333
       206      6.719           6.758           6.876           6.648           4.103           1.155
       207      6.461           6.527           6.715           6.460           4.424           1.258
       208      6.229           6.259           6.498           6.235           3.272           1.209
       209      6.223           6.265           6.466           6.238           3.903           1.504
       210      6.485           6.555           6.713           6.487           3.929           1.122
       211      6.969           7.034           7.134           6.928           4.603           1.328
       212      8.092           8.215           8.206           8.018           5.630           1.831
       213      8.564           8.703           8.735           8.503           5.708           1.346
       214      8.451           8.593           8.626           8.407           5.872           1.405
       215      8.732           8.899           8.879           8.702           6.588           1.844
       216      8.580           8.723           8.727           8.547           5.636           1.521
       217      9.438           9.615           9.552           9.372           6.897           1.764
       218      8.238           8.404           8.428           8.212           5.315           2.117
       219      8.579           8.757           8.785           8.570           5.240           1.987
       220      8.361           8.514           8.543           8.349           4.345           1.297
       221      8.509           8.660           8.681           8.499           4.522           1.296
       222      8.165           8.309           8.285           8.129           4.812           1.905
       223      8.434           8.600           8.491           8.374           5.183           1.175
       224      8.227           8.375           8.305           8.153           4.985           1.307
       225      8.605           8.772           8.692           8.552           4.981           1.223
       226      8.950           9.115           9.109           8.901           4.874           1.341
       227      9.108           9.302           9.237           9.051           4.607           1.238
       228      8.847           9.035           8.952           8.786           4.534           1.391
       229      9.300           9.492           9.338           9.209           5.014           1.244
       230      9.400           9.565           9.558           9.336           5.720           1.158
       231      8.717           8.876           8.838           8.663           5.340           1.296
       232      8.540           8.713           8.725           8.531           4.483           1.350
       233      8.146           8.315           8.275           8.103           4.240           1.224
       234      7.569           7.725           7.734           7.538           4.926           1.345
       235      7.360           7.507           7.501           7.323           4.711           1.266
       236      8.331           8.504           8.431           8.284           5.686           1.195
       237      7.994           8.176           8.134           7.968           5.226           1.308
       238      8.621           8.793           8.741           8.574           5.971           1.424
       239      8.585           8.746           8.640           8.513           4.895           1.384
       240      8.666           8.840           8.763           8.610           5.662           1.391
       241      8.511           8.675           8.728           8.509           5.586           1.333
       242      7.243           7.340           7.387           7.219           5.678           1.841
       243      7.619           7.737           7.734           7.568           5.831           1.157
       244      7.848           7.976           7.954           7.788           5.638           1.661
       245      8.186           8.340           8.257           8.122           5.495           1.632
       246      7.143           7.248           7.294           7.097           4.825           1.316
       247      8.250           8.391           8.342           8.162           4.718           1.284
       248      8.200           8.363           8.293           8.112           4.854           1.368
       249      7.449           7.576           7.608           7.395           4.936           1.157
       250      7.453           7.598           7.646           7.425           5.212           1.096
       251      6.614           6.711           6.971           6.648           4.835           1.144
       252      6.801           6.851           7.119           6.814           4.585           1.312
       253      6.610           6.651           6.872           6.600           4.356           1.377
       254      6.546           6.604           6.726           6.496           3.836           1.284
       255      6.098           6.154           6.257           6.047           4.302           1.164
       256      6.814           6.886           7.038           6.800           4.901           1.290
       257      7.704           7.834           7.771           7.634           4.590           1.232
       258      8.083           8.238           8.135           8.014           5.228           1.315
       259      7.785           7.914           7.853           7.709           5.292           1.396
       260      7.003           7.097           7.104           6.948           5.170           1.129
       261      7.414           7.475           7.576           7.377           4.679           0.966
       262      6.942           7.038           7.143           6.934           4.576           1.250
       263      6.957           7.039           7.091           6.903           3.956           1.303
       264      8.093           8.227           8.228           8.052           4.461           1.216
       265      8.226           8.370           8.447           8.226           5.303           1.262
       266      7.997           8.117           8.085           7.932           4.945           1.158
       267      8.503           8.640           8.563           8.424           5.522           1.566
       268      9.656           9.844           9.616           9.544           6.241           1.737
       269      9.601           9.747           9.680           9.503           6.983           2.094
       270     10.424          10.617          10.454          10.330           7.188           1.442
       271     10.917          11.119          10.936          10.811           6.265           1.825
       272     11.357          11.536          11.308          11.220           7.058           1.473
       273     10.836          11.027          10.889          10.741           6.710           1.828
       274     10.477          10.689          10.570          10.404           6.725           1.459
       275     10.603          10.795          10.662          10.499           6.423           1.546
       276     11.039          11.232          11.026          10.923           6.699           1.769
       277     11.340          11.558          11.252          11.186           6.207           2.028
       278     10.989          11.198          10.947          10.860           6.665           1.937
       279     12.199          12.424          12.091          12.025           6.523           1.815
       280     10.652          10.810          10.598          10.506           6.133           2.071
       281     10.859          11.044          10.916          10.770           6.817           1.444
       282     10.900          11.097          10.917          10.793           6.649           1.632
       283     10.849          11.044          10.981          10.808           6.816           1.442
       284     10.111          10.297          10.242          10.058           6.416           1.485
       285     10.381          10.567          10.526          10.346           7.202           1.771
       286     10.438          10.605          10.526          10.380           6.882           1.718
       287     10.030          10.170          10.047           9.955           6.194           1.706
       288      9.739           9.852           9.796           9.667           6.993           1.864
       289      9.772           9.875           9.796           9.676           6.720           1.907
       290     10.594          10.746          10.592          10.499           6.199           1.645
       291     10.776          10.955          10.792          10.687           6.018           1.651
       292     10.912          11.109          10.849          10.801           7.443           1.803
       293     10.354          10.553          10.314          10.233           6.279           1.809
       294     10.356          10.566          10.314          10.248           6.466           1.834
       295     10.722          10.940          10.680          10.614           7.450           1.937
       296     10.733          10.919          10.681          10.616           7.582           1.771
       297     10.888          11.082          10.843          10.784           6.464           1.401
       298     11.259          11.499          11.198          11.125           6.657           1.433
       299     10.831          11.054          10.860          10.738           6.490           1.356
       300     10.699          10.940          10.681          10.603           6.244           1.406
       301     10.867          11.074          10.849          10.762           6.176           1.588
       302     10.774          11.013          10.768          10.695           7.587           1.233
       303     10.548          10.748          10.559          10.453           6.077           1.043
       304     10.212          10.390          10.216          10.117           7.328           1.281
       305     10.008          10.200          10.055           9.947           5.849           0.963
