@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
6S74,KY8,NON-POLYMER,458.517,WJNNCQSJBOESHI-NVQRDWNXSA-N,c1cnc(nc1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O
6S77,KXW,NON-POLYMER,501.539,BVWHRNNLXISVCS-YWYKXHLWSA-N,c1ccnc(c1)NCCCN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O
6S79,KXW,NON-POLYMER,501.539,BVWHRNNLXISVCS-YWYKXHLWSA-N,c1ccnc(c1)NCCCN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O
6S7A,KY5,NON-POLYMER,457.529,YWUJVBSQHYBLFQ-HAXDFEGKSA-N,c1ccnc(c1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O
6S7B,KYH,NON-POLYMER,436.512,BKVNLNYAEXQZIR-LSCFUAHRSA-N,[H]/N=C(\N)/NCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O
6S7C,KY2,NON-POLYMER,422.485,ALBPVVFHRWZNEG-XNIJJKJLSA-N,[H]/N=C(\N)/NCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O
7FAI,XJ3,NON-POLYMER,450.576,HUESDICJTDCQLW-UHFFFAOYSA-N,Cc1c(nc(nc1NC2CCOCC2)c3cccc(c3)CNCCNC)c4c(noc4C)C
7FAJ,XJ4,NON-POLYMER,442.556,DVIUIRPCVXVFSX-UHFFFAOYSA-N,Cc1c(nc(nc1Nc2ccccc2)c3cccc(c3)CNCCNC)c4c(noc4C)C
7U9I,44T,non-polymer,472.604,BAIOUYWLRAHGMQ-GLHSZLCASA-N,CCc1ccncc1CNCCCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3ccc4c3ncnc4N)O)O
8G2H,YVU,non-polymer,459.522,UTFOOFWJWOBJJY-NVQRDWNXSA-N,c1ccc(cc1)CNC(=O)NCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O
8G2I,I0B,non-polymer,696.598,GYMQWYWYFKTHMW-ZYWWQZICSA-N,[H]/N=C(/NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)\Nc5cccc(c5)Br
8SIG,GWU,non-polymer,499.566,XDYSZBVLXUKRDP-WGQQHEPDSA-N,c1ccc(cc1)CNC(=O)NCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O
